Recall,Precision,Thresholds,Data,Train Size,Speaker Number,D-vector
0.9359999999999999,0.41935483870967744,0.8464244000000001,Digit Data,40%,5,conv5_block3_out
0.9359999999999999,0.4197309417040359,0.8465560999999999,Digit Data,40%,5,conv5_block3_out
0.934,0.4192100538599641,0.84663707,Digit Data,40%,5,conv5_block3_out
0.934,0.4195867026055705,0.8466903,Digit Data,40%,5,conv5_block3_out
0.934,0.4199640287769784,0.8469865,Digit Data,40%,5,conv5_block3_out
0.934,0.4203420342034204,0.8470502000000001,Digit Data,40%,5,conv5_block3_out
0.932,0.4198198198198198,0.8470943000000001,Digit Data,40%,5,conv5_block3_out
0.93,0.4192966636609558,0.8471341999999998,Digit Data,40%,5,conv5_block3_out
0.93,0.4196750902527076,0.8472074,Digit Data,40%,5,conv5_block3_out
0.93,0.42005420054200543,0.8473668,Digit Data,40%,5,conv5_block3_out
0.93,0.4204339963833635,0.8473724,Digit Data,40%,5,conv5_block3_out
